Species,Weight,Vertical_len,Diagonal_len,Cross_len,Height,Width
Perch,80.000000,17.200000,19.000000,20.200000,5.635800,3.050200
Roach,200.000000,22.100000,23.500000,26.800000,7.396800,4.127200
Bream,575.000000,31.300000,34.000000,39.500000,15.128500,5.569500
Bream,685.000000,31.400000,34.000000,39.200000,15.993600,5.370400
Perch,32.000000,12.500000,13.700000,14.700000,3.528000,1.999200
Bream,950.000000,38.000000,41.000000,46.500000,17.623500,6.370500
Perch,130.000000,20.500000,22.500000,24.000000,5.856000,3.624000
Parkki,150.000000,18.400000,20.000000,22.400000,8.892800,3.292800
Bream,1000.000000,33.500000,37.000000,42.600000,18.957000,6.603000
Perch,820.000000,37.100000,40.000000,42.500000,11.135000,6.630000
Perch,150.000000,20.500000,22.500000,24.000000,6.792000,3.624000
Perch,300.000000,26.900000,28.700000,30.100000,7.585200,4.635400
Perch,265.000000,25.400000,27.500000,28.900000,7.051600,4.335000
Whitefish,270.000000,23.600000,26.000000,28.700000,8.380400,4.247600
Perch,225.000000,22.000000,24.000000,25.500000,7.293000,3.723000
Whitefish,800.000000,33.700000,36.400000,39.600000,11.761200,6.573600
Bream,720.000000,32.000000,35.000000,40.600000,16.361800,6.090000
Parkki,273.000000,23.000000,25.000000,28.000000,11.088000,4.144000
Perch,1000.000000,39.800000,43.000000,45.200000,11.932800,7.277200
Roach,160.000000,20.500000,22.500000,25.300000,7.033400,3.820300
Bream,700.000000,30.400000,33.000000,38.300000,14.860400,5.285400
Bream,340.000000,23.900000,26.500000,31.100000,12.377800,4.696100
Bream,700.000000,31.900000,35.000000,40.500000,16.240500,5.589000
Roach,180.000000,23.600000,25.200000,27.900000,7.086600,3.906000
Perch,120.000000,20.000000,22.000000,23.500000,5.640000,3.525000
Parkki,200.000000,21.200000,23.000000,25.800000,10.345800,3.663600
Perch,51.500000,15.000000,16.200000,17.200000,4.592400,2.631600
Bream,363.000000,26.300000,29.000000,33.500000,12.730000,4.455500
Perch,1100.000000,39.000000,42.000000,44.600000,12.800200,6.868400
Whitefish,270.000000,24.100000,26.500000,29.300000,8.145400,4.248500
Parkki,60.000000,14.300000,15.500000,17.400000,6.577200,2.314200
Perch,260.000000,25.400000,27.500000,28.900000,7.167200,4.335000
Bream,242.000000,23.200000,25.400000,30.000000,11.520000,4.020000
Roach,290.000000,24.000000,26.000000,29.200000,8.876800,4.496800
Bream,500.000000,29.100000,31.500000,36.400000,13.759200,4.368000
